#TradeId,TradeType,NumberOfPricings,CumulativeTiming,AverageTiming
ComAsian_GOLD_Monthly_Long_USD,ScriptedTrade,2,360000,180000
ComAsian_WTI_Monthly_EUR,ScriptedTrade,2,90000,45000
ComAsian_WTI_Monthly_Long_EUR,ScriptedTrade,2,520000,260000
ComBarrier_WTI_UpIn_EUR,ScriptedTrade,2,100000,50000
ComBerm_WTI_QuantoEUR,ScriptedTrade,2,12390000,6195000
ComDigital_WTI_Call_EUR,ScriptedTrade,2,20000,10000
ComFwd_GOLD_USD,ScriptedTrade,2,0,0
ComFwd_GOLD_USD_Long2024,ScriptedTrade,2,20000,10000
ComFwd_WTI_QuantoEUR,ScriptedTrade,2,10000,5000
ComFwd_WTI_QuantoEUR_10Y,ScriptedTrade,2,10000,5000
ComFwd_WTI_QuantoEUR_5Y,ScriptedTrade,2,20000,10000
ComFwd_WTI_QuantoEUR_Long2024,ScriptedTrade,2,10000,5000
EqAmer_SP5_Weekly,ScriptedTrade,2,13540000,6770000
EqAsianBasket_Domestic,ScriptedTrade,2,130000,65000
EqAsianBasket_Quanto,ScriptedTrade,2,140000,70000
EqBarrier_UO_SP5,ScriptedTrade,2,60000,30000
EqBerm_SP5_Monthly,ScriptedTrade,2,120000,60000
EqCall_SP5,ScriptedTrade,2,10000,5000
EqDigital_SP5,ScriptedTrade,2,10000,5000
EqFwd_HSCEI,ScriptedTrade,2,10000,5000
EqFwd_SP5,ScriptedTrade,2,10000,5000
EqFwd_SPX,ScriptedTrade,2,0,0
EqFwd_SX5E,ScriptedTrade,2,10000,5000
EqPut_SP5,ScriptedTrade,2,10000,5000
