#NettingSetId,RiskType,Bucket,MarginType,RiskFactor,CvaType,Sensitivity,RiskWeight
,ForeignExchange,USD,Delta,FXSpot,CvaAggregate,1004.3575,0.1100
,ForeignExchange,USD,Delta,FXSpot,CvaHedge,1004.3575,0.1100
,CreditCounterparty,2,Delta,BANK/6M,CvaAggregate,1279314.9877,0.0500
,CreditCounterparty,2,Delta,BANK/6M,CvaHedge,0.0000,0.0500
,Equity,11,Delta,HSCEI,CvaAggregate,-6747.7048,0.7000
,Equity,11,Delta,HSCEI,CvaHedge,0.0000,0.7000
,Equity,11,Delta,SP5,CvaAggregate,4530.2074,0.7000
,Equity,11,Delta,SP5,CvaHedge,0.0000,0.7000
,Equity,11,Delta,SPX,CvaAggregate,-6490.7519,0.7000
,Equity,11,Delta,SPX,CvaHedge,0.0000,0.7000
,Equity,11,Delta,SX5E,CvaAggregate,-13338.9010,0.7000
,Equity,11,Delta,SX5E,CvaHedge,0.0000,0.7000
,Commodity,1,Delta,COMDTY_WTI_USD,CvaAggregate,301.5501,0.3000
,Commodity,1,Delta,COMDTY_WTI_USD,CvaHedge,0.0000,0.3000
,Commodity,2,Delta,COMDTY_GOLD_USD,CvaAggregate,31.0947,0.3500
,Commodity,2,Delta,COMDTY_GOLD_USD,CvaHedge,0.0000,0.3500
CPTY_A,ForeignExchange,USD,Delta,FXSpot,CvaAggregate,1004.3575,0.1100
CPTY_A,ForeignExchange,USD,Delta,FXSpot,CvaHedge,1004.3575,0.1100
CPTY_A,CreditCounterparty,2,Delta,BANK/6M,CvaAggregate,1279314.9877,0.0500
CPTY_A,CreditCounterparty,2,Delta,BANK/6M,CvaHedge,0.0000,0.0500
CPTY_A,Equity,11,Delta,HSCEI,CvaAggregate,-6747.7048,0.7000
CPTY_A,Equity,11,Delta,HSCEI,CvaHedge,0.0000,0.7000
CPTY_A,Equity,11,Delta,SP5,CvaAggregate,4530.2074,0.7000
CPTY_A,Equity,11,Delta,SP5,CvaHedge,0.0000,0.7000
CPTY_A,Equity,11,Delta,SPX,CvaAggregate,-6490.7519,0.7000
CPTY_A,Equity,11,Delta,SPX,CvaHedge,0.0000,0.7000
CPTY_A,Equity,11,Delta,SX5E,CvaAggregate,-13338.9010,0.7000
CPTY_A,Equity,11,Delta,SX5E,CvaHedge,0.0000,0.7000
CPTY_A,Commodity,1,Delta,COMDTY_WTI_USD,CvaAggregate,301.5501,0.3000
CPTY_A,Commodity,1,Delta,COMDTY_WTI_USD,CvaHedge,0.0000,0.3000
CPTY_A,Commodity,2,Delta,COMDTY_GOLD_USD,CvaAggregate,31.0947,0.3500
CPTY_A,Commodity,2,Delta,COMDTY_GOLD_USD,CvaHedge,0.0000,0.3500
