#Key,Total,Count,Max,Min,Average
PRICING|Run PRICINGAnalytic,4040000,1,4040000,4040000,4040000.00
PRICING|buildMarket(),0,1,0,0,0.00
PRICING|buildPortfolio(),1980000,1,1980000,1980000,1980000.00
SACCR|Run SACCRAnalytic,2050000,1,2050000,2050000,2050000.00
SACCR|buildMarket(),10000,1,10000,10000,10000.00
SA_CVA|Run SA_CVAAnalytic,0,1,0,0,0.00
SA_CVA|SENSI|Run XVA_SENSITIVITYAnalytic,0,1,0,0,0.00
XVA|Run XVAAnalytic,2120000,1,2120000,2120000,2120000.00
XVA|buildMarket(),0,1,0,0,0.00
XVA_SENSITIVITY|Run XVA_SENSITIVITYAnalytic,0,1,0,0,0.00
